Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	8	556	95	96	ARANAÐME	0.2
2	7	Fa5#3	F5#4	343	344	2	16	556	95	96	.	0.4
3	9	Sol5	G5	349	349	1	8	556	95	96	.	0.6
4	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.	0.8
5	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.	1
6	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.	1.2
7	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.	1.4
8	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.	1.6
9	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.	1.8
10	9	Re5	D5	327	327	1	8	556	95	114	.	2
11	9	Re5	D5	327	327	3	32	417	95	108	.	2.15
12	9	Do5	C5	318	318	1	32	139	95	102	.	2.2
13	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	2.3
14	9	Do5	C5	318	318	1	16	278	95	90	.	2.4
15	9	Re5	D5	327	327	1	16	278	95	84	.	2.5
16	9	Mi5b3	E5b4	333	332	1	16	278	95	96	.	2.6
17	9	Fa5#3	F5#4	343	344	1	16	278	95	96	.	2.7
18	9	Sol5	G5	349	349	1	16	278	95	96	.	2.8
19	9	La5	A5	358	358	1	16	278	95	96	.	2.9
20	9	Si5b5	B5b5	362	362	1	16	278	95	96	.	3
21	9	La5	A5	358	358	1	16	278	95	96	.	3.1
22	9	Sol5	G5	349	349	1	16	278	95	96	.	3.2
23	9	Sol5	G5	349	349	1	16	278	95	96	.	3.3
24	9	Fa5#3	F5#4	343	344	1	16	278	95	96	.	3.4
25	9	Sol5	G5	349	349	3	8	1667	95	96	.	4
26	9	Sol5	G5	349	349	1	8	556	95	96	.	4.2
27	7	Fa5#3	F5#4	343	344	2	16	556	95	96	.	4.4
28	9	Sol5	G5	349	349	1	8	556	95	96	.	4.6
29	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.	4.8
30	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.	5
31	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.	5.2
32	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.	5.4
33	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.	5.6
34	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.	5.8
35	9	Re5	D5	327	327	1	8	556	95	96	.	6
36	9	Re5	D5	327	327	3	32	417	95	96	.	6.15
37	9	Do5	C5	318	318	1	32	139	95	96	.	6.2
38	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	6.3
39	9	Do5	C5	318	318	1	16	278	95	96	.	6.4
40	9	Re5	D5	327	327	1	16	278	95	96	.	6.5
41	9	Mi5b3	E5b4	333	332	1	16	278	95	96	.	6.6
42	9	Fa5#3	F5#4	343	344	1	16	278	95	96	.	6.7
43	9	Sol5	G5	349	349	1	16	278	95	96	.	6.8
44	9	Fa5#3	F5#4	343	344	1	16	278	95	96	.	6.9
45	9	Mi5b3	E5b4	333	332	1	16	278	95	96	.	7
46	9	Re5	D5	327	327	1	16	278	95	96	.	7.1
47	9	Do5	C5	318	318	1	16	278	95	96	.	7.2
48	9	Do5	C5	318	318	1	16	278	95	96	.	7.3
49	11	Si4b1	B4b1	313	313	1	16	278	95	96	.	7.4
50	9	Si4b1	B4b1	313	313	3	8	1667	95	96	.	8
51	52			0	0	1	8	0	108	0		8.2
52	9	Sol5	G5	349	349	1	8	556	95	96	ARANAÐME	8.4
53	7	Fa5#3	F5#4	343	344	2	16	556	95	96	.	8.6
54	9	Sol5	G5	349	349	1	8	556	95	96	.	8.8
55	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.	9
56	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.	9.2
57	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.	9.4
58	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.	9.6
59	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.	9.8
60	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.	10
61	9	Re5	D5	327	327	1	8	556	95	114	.	10.2
62	9	Re5	D5	327	327	3	32	417	95	108	.	10.35
63	9	Do5	C5	318	318	1	32	139	95	102	.	10.4
64	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	10.5
65	9	Do5	C5	318	318	1	16	278	95	90	.	10.6
66	9	Re5	D5	327	327	1	16	278	95	84	.	10.7
67	9	Mi5b3	E5b4	333	332	1	16	278	95	96	.	10.8
68	9	Fa5#3	F5#4	343	344	1	16	278	95	96	.	10.9
69	9	Sol5	G5	349	349	1	16	278	95	96	.	11
70	9	La5	A5	358	358	1	16	278	95	96	.	11.1
71	9	Si5b5	B5b5	362	362	1	16	278	95	96	.	11.2
72	9	La5	A5	358	358	1	16	278	95	96	.	11.3
73	9	Sol5	G5	349	349	1	16	278	95	96	.	11.4
74	9	Sol5	G5	349	349	1	16	278	95	96	.	11.5
75	9	Fa5#3	F5#4	343	344	1	16	278	95	96	.	11.6
76	9	Sol5	G5	349	349	3	8	1667	95	96	.	12.2
77	9	Sol5	G5	349	349	1	8	556	95	96	.	12.4
78	7	Fa5#3	F5#4	343	344	2	16	556	95	96	.	12.6
