Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La5	A5	358	358	1	4	833	95	96	ARANAÐME	0.25
2	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	0.375
3	9	Sol5	G5	349	349	1	8	417	85	96	.	0.5
4	9	La5	A5	358	358	1	4	833	50	96	.	0.75
5	9	La5	A5	358	358	1	4	833	50	96	.	1
6	9	Do6	C6	371	371	1	16	208	95	96	.	1.0625
7	9	Si5b2	B5b1	365	366	1	16	208	85	96	.	1.125
8	9	La5	A5	358	358	1	4	833	95	96	.	1.375
9	9			-1	-1	1	8	417	100	0	.	1.5
10	9	Do6	C6	371	371	1	16	208	95	96	.	1.5625
11	9	Si5b2	B5b1	365	366	1	16	208	85	96	.	1.625
12	9	La5	A5	358	358	1	8	417	95	96	.	1.75
13	9	Sol5	G5	349	349	1	8	417	95	96	.	1.875
14	9	Fa5#3	F5#4	343	344	1	8	417	85	96	.	2
15	9	Mi5	E5	336	336	1	8	417	95	96	.	2.125
16	9	Re5	D5	327	327	1	8	417	85	96	.	2.25
17	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	2.375
18	9	Do5	C5	318	318	1	8	417	85	96	.	2.5
19	9	Re5	D5	327	327	1	4	833	95	96	.	2.75
20	9	Re5	D5	327	327	1	4	833	95	96	.	3
21	9	Re5	D5	327	327	1	8	417	95	96	.	3.125
22	9	Mi5	E5	336	336	1	8	417	85	96	.	3.25
23	9	Do5	C5	318	318	1	8	417	95	96	.	3.375
24	9	Mi5	E5	336	336	1	8	417	85	96	.	3.5
25	9	Re5	D5	327	327	1	4	833	95	96	.	3.75
26	9	Re5	D5	327	327	1	16	208	95	96	.	3.8125
27	9	Mi5	E5	336	336	1	16	208	85	96	.	3.875
28	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	3.9375
29	9	Sol5	G5	349	349	1	16	208	85	96	.	4
30	9	La5	A5	358	358	1	4	833	95	96	.	4.25
31	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	4.375
32	9	Sol5	G5	349	349	1	8	417	85	96	.	4.5
33	9	La5	A5	358	358	1	4	833	95	96	.	4.75
34	9	La5	A5	358	358	1	4	833	95	96	.	5
35	9	Sol5	G5	349	349	1	8	417	95	96	.	5.125
36	9	Fa5#3	F5#4	343	344	1	8	417	85	96	.	5.25
37	9	Mi5	E5	336	336	1	8	417	95	96	.	5.375
38	9	Re5	D5	327	327	1	8	417	85	96	.	5.5
39	9	Re5	D5	327	327	1	8	417	95	96	.	5.625
40	9	Mi5b4	E5b4	332	332	1	16	208	95	96	.	5.6875
41	9	Re5	D5	327	327	1	16	208	85	96	.	5.75
42	9	Do5	C5	318	318	1	16	208	95	96	.	5.8125
43	9	Si4b2	B4b1	312	313	1	16	208	85	96	.	5.875
44	9	Do5	C5	318	318	1	8	417	95	96	.	6
45	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	6.0625
46	9	Do5	C5	318	318	1	16	208	85	96	.	6.125
47	9	Re5	D5	327	327	1	16	208	95	96	.	6.1875
48	9	Do5	C5	318	318	1	16	208	85	96	.	6.25
49	9	Re5	D5	327	327	1	16	208	95	96	.	6.3125
50	9	Si4b2	B4b1	312	313	1	16	208	85	96	.	6.375
51	9	Do5	C5	318	318	1	8	417	95	96	.	6.5
52	9	Si4b2	B4b1	312	313	1	16	208	95	96	.	6.5625
53	9	Do5	C5	318	318	1	16	208	85	96	.	6.625
54	9	Re5	D5	327	327	1	16	208	95	96	.	6.6875
55	9	Do5	C5	318	318	1	16	208	85	96	.	6.75
56	9	Re5	D5	327	327	1	16	208	95	96	.	6.8125
57	9	Si4b2	B4b1	312	313	1	16	208	85	96	.	6.875
58	9	Do5	C5	318	318	1	8	417	95	96	.	7
59	9	Do5	C5	318	318	1	4	833	95	96	.	7.25
60	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	7.375
61	9	Do5	C5	318	318	1	8	417	85	96	.	7.5
62	9	Do5	C5	318	318	1	8	417	95	96	.	7.625
63	9	Si4b2	B4b1	312	313	1	4	833	95	96	.	7.875
64	9	La4	A4	305	305	1	8	417	95	96	.	8
65	9	Do5	C5	318	318	1	8	417	95	96	.	8.125
66	9	Si4b2	B4b1	312	313	1	4	833	95	96	.	8.375
67	9	La4	A4	305	305	1	8	417	95	96	.	8.5
68	9	La4	A4	305	305	1	4	833	95	96	.	8.75
69	9	Re5	D5	327	327	1	16	208	95	96	.	8.8125
70	9	Mi5	E5	336	336	1	16	208	85	96	.	8.875
71	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	8.9375
72	9	Sol5	G5	349	349	1	16	208	85	96	.  	9
73	52			0	0	1	8	0	127	17		9.125
74	9	La5	A5	358	358	1	4	833	95	96	ARANAÐME	9.375
75	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	9.5
76	9	Sol5	G5	349	349	1	8	417	85	96	.	9.625
77	9	La5	A5	358	358	1	4	833	50	96	.	9.875
78	9	La5	A5	358	358	1	4	833	50	96	.	10.125
79	9	Do6	C6	371	371	1	16	208	95	96	.	10.1875
80	9	Si5b2	B5b1	365	366	1	16	208	85	96	.	10.25
81	9	La5	A5	358	358	1	4	833	95	96	.	10.5
82	9			-1	-1	1	8	417	100	0	.	10.625
83	9	Do6	C6	371	371	1	16	208	95	96	.	10.6875
