Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	1	8	417	95	96	ARANAÐME	5.555556E-02
2	9	Fa5	F5	340	340	1	4	833	95	96	.	0.1666667
3	9	Si5b5	B5b5	362	362	1	8	417	95	96	.	0.2222222
4	9	La5	A5	358	358	1	8	417	95	96	.	0.2777778
5	9	Si5b5	B5b5	362	362	1	16	208	95	96	.	0.3055556
6	9	La5	A5	358	358	1	16	208	95	96	.	0.3333333
7	9	Sol5	G5	349	349	1	8	417	95	96	.	0.3888889
8	9	La5	A5	358	358	1	16	208	95	96	.	0.4166667
9	9	Sol5	G5	349	349	1	16	208	95	96	.	0.4444444
10	9	Fa5	F5	340	340	1	8	417	95	96	.	0.5
11	9	Sol5	G5	349	349	1	16	208	95	96	.	0.5277778
12	9	Fa5	F5	340	340	1	16	208	95	96	.	0.5555556
13	9	Mi5	E5	336	336	1	8	417	95	96	.	0.6111111
14	9	Fa5	F5	340	340	1	16	208	95	96	.	0.6388889
15	9	Mi5	E5	336	336	1	16	208	95	96	.	0.6666667
16	9	Re5	D5	327	327	1	8	417	95	96	.	0.7222222
17	9	Mi5	E5	336	336	1	16	208	95	96	.	0.75
18	9	Re5	D5	327	327	1	16	208	95	96	.	0.7777778
19	9	Do5	C5	318	318	1	8	417	95	96	.	0.8333333
20	9	Re5	D5	327	327	1	8	417	95	96	.	0.8888889
21	9	Do5	C5	318	318	1	8	417	95	96	.	0.9444444
22	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	1
23	9	La4	A4	305	305	3	16	625	95	96	.	1.083333
24	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	1.111111
25	9	Do5	C5	318	318	1	8	417	95	96	.	1.166667
26	9	Re5	D5	327	327	1	8	417	95	96	.	1.222222
27	9	Do5	C5	318	318	1	8	417	95	96	.	1.277778
28	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	1.333333
29	9	La4	A4	305	305	1	8	417	95	96	.	1.388889
30	9	Sol4	G4	296	296	1	8	417	95	96	.	1.444444
31	9	La4	A4	305	305	3	16	625	95	96	.	1.527778
32	9	Sol4	G4	296	296	1	16	208	95	96	.	1.555556
33	9	Sol4	G4	296	296	1	16	208	95	96	.	1.583333
34	9	Fa4	F4	287	287	1	16	208	95	96	.	1.611111
35	9	Fa4	F4	287	287	1	16	208	95	96	.	1.638889
36	9	Mi4	E4	283	283	1	16	208	95	96	.	1.666667
37	9	Fa4	F4	287	287	1	4	833	95	96	.	1.777778
38	9	Do5	C5	318	318	1	8	417	95	96	.	1.833333
39	9	Re5	D5	327	327	1	16	208	95	96	.	1.861111
40	9	Mi5	E5	336	336	1	16	208	95	96	.	1.888889
41	9	Fa5	F5	340	340	1	4	833	95	96	.	2
42	9	Mi5	E5	336	336	1	8	417	95	96	.	2.055556
43	9	Fa5	F5	340	340	1	4	833	95	96	.	2.166667
44	9	Si5b5	B5b5	362	362	1	8	417	95	96	.	2.222222
45	9	La5	A5	358	358	1	8	417	95	96	.	2.277778
46	9	Si5b5	B5b5	362	362	1	16	208	95	96	.	2.305556
47	9	La5	A5	358	358	1	16	208	95	96	.	2.333333
48	9	Sol5	G5	349	349	1	8	417	95	96	.	2.388889
49	9	La5	A5	358	358	1	16	208	95	96	.	2.416667
50	9	Sol5	G5	349	349	1	16	208	95	96	.	2.444444
51	9	Fa5	F5	340	340	1	8	417	95	96	.	2.5
52	9	Sol5	G5	349	349	1	16	208	95	96	.	2.527778
53	9	Fa5	F5	340	340	1	16	208	95	96	.	2.555556
54	9	Mi5	E5	336	336	1	8	417	95	96	.	2.611111
55	9	Fa5	F5	340	340	1	16	208	95	96	.	2.638889
56	9	Mi5	E5	336	336	1	16	208	95	96	.	2.666667
57	9	Re5	D5	327	327	1	8	417	95	96	.	2.722222
58	9	Mi5	E5	336	336	1	16	208	95	96	.	2.75
59	9	Re5	D5	327	327	1	16	208	95	96	.	2.777778
60	9	Do5	C5	318	318	1	8	417	95	96	.	2.833333
61	9	Re5	D5	327	327	1	8	417	95	96	.	2.888889
62	9	Do5	C5	318	318	1	8	417	95	96	.	2.944444
63	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	3
64	9	La4	A4	305	305	3	16	625	95	96	.	3.083333
65	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	3.111111
66	9	Do5	C5	318	318	1	8	417	95	96	.	3.166667
67	9	Re5	D5	327	327	1	8	417	95	96	.	3.222222
68	9	Do5	C5	318	318	1	8	417	95	96	.	3.277778
69	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	3.333333
70	9	La4	A4	305	305	1	8	417	95	96	.	3.388889
71	9	Sol4	G4	296	296	1	8	417	95	96	.	3.444444
72	9	La4	A4	305	305	3	16	625	95	96	.	3.527778
73	9	Sol4	G4	296	296	1	16	208	95	96	.	3.555556
74	9	Sol4	G4	296	296	1	16	208	95	96	.	3.583333
75	9	Fa4	F4	287	287	1	16	208	95	96	.	3.611111
76	9	Fa4	F4	287	287	1	16	208	95	96	.	3.638889
77	9	Mi4	E4	283	283	1	16	208	95	96	.	3.666667
78	9	Fa4	F4	287	287	1	2	1667	95	114	.	3.888889
79	9			-1	-1	1	4	833	100	114		4
80	1	Do5	C5	318	318	1	8	417	95	114	.	4.055555
81	1	Re5	D5	327	327	1	16	208	95	114	.	4.083333
82	1	Mi5	E5	336	336	1	16	208	95	114	.	4.111111
83	1	Fa5	F5	340	340	1	4	833	95	114	.	4.222222
84	9			-1	-1	1	8	417	100	114		4.277778
85	9	Do5	C5	318	318	1	4	833	95	114	Bir 	4.388889
86	9	Fa5	F5	340	340	1	8	417	95	114	te	4.444445
87	9	Mi5	E5	336	336	1	8	417	99	114	sel	4.5
