Variable,Value
makam,suzinak
form,seyir
usul,sofyan
title,1
composer,sefik_gurmeric
filename,suzinak--seyir--sofyan--1--sefik_gurmeric.txt
note_count,88
unique_note_count,13
minimum_koma53,-1
maximum_koma53,362
mean_koma53,312.5681818181818
median_koma53,327.0
std_koma53,78.96249589251696
koma53_range,363
total_unit_duration,12.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.13636363636363635
median_unit_duration,0.125
std_unit_duration,0.0871325693383274
most_common_note,D5
most_common_note_count,15
