Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	3	16	577	95	96	ARANAÐME 	0.1875
2	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	0.25
3	9	Si4	B4	314	314	1	8	385	95	96	.	0.375
4	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	0.5
5	9	Re5	D5	327	327	1	4	769	95	96	.	0.75
6	9	Mi5	E5	336	336	1	4	769	95	96	.	1
7	9	Fa5	F5	340	340	3	16	577	95	96	.	1.1875
8	9	Mi5	E5	336	336	1	16	192	95	96	.	1.25
9	9	Re5	D5	327	327	1	8	385	95	96	.	1.375
10	9	Re5	D5	327	327	1	8	385	95	96	.	1.5
11	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	1.625
12	9	Re5	D5	327	327	1	8	385	95	96	.	1.75
13	9	Re5	D5	327	327	1	8	385	95	96	.	1.875
14	9	Re5	D5	327	327	1	8	385	95	96	.	2
15	9	Re5	D5	327	327	1	16	192	95	96	.	2.0625
16	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	2.125
17	9	Re5	D5	327	327	1	16	192	95	96	.	2.1875
18	9	Mi5	E5	336	336	1	16	192	95	96	.	2.25
19	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	2.375
20	9	Si4b4	B4b4	310	310	1	8	385	95	96	.	2.5
21	9	La4	A4	305	305	1	8	385	95	96	.	2.625
22	9	Re5	D5	327	327	1	8	385	95	96	.	2.75
23	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	2.875
24	9	Si4b4	B4b4	310	310	1	8	385	95	96	.	3
25	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	3.0625
26	9	La4	A4	305	305	1	16	192	95	96	.	3.125
27	9	La4	A4	305	305	3	8	1154	95	96	.	3.5
28	9	La4	A4	305	305	1	8	385	95	96	.	3.625
29	9	Sol4	G4	296	296	1	8	385	95	96	.	3.75
30	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	3.875
31	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	3.9375
32	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	4
33	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	4.0625
34	9	La4	A4	305	305	1	16	192	95	96	.	4.125
35	9	La4	A4	305	305	7	8	2692	95	96	.	5
36	52			0	0	1	4	0	78	0		5.25
37	9	Re5	D5	327	327	3	16	577	95	96	ARANAÐME 	5.4375
38	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	5.5
39	9	Si4	B4	314	314	1	8	385	95	96	.	5.625
40	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	5.75
41	9	Re5	D5	327	327	1	4	769	95	96	.	6
42	9	Mi5	E5	336	336	1	4	769	95	96	.	6.25
43	9	Fa5	F5	340	340	3	16	577	95	96	.	6.4375
44	9	Mi5	E5	336	336	1	16	192	95	96	.	6.5
45	9	Re5	D5	327	327	1	8	385	95	96	.	6.625
46	9	Re5	D5	327	327	1	8	385	95	96	.	6.75
47	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	6.875
48	9	Re5	D5	327	327	1	8	385	95	96	.	7
49	9	Re5	D5	327	327	1	8	385	95	96	.	7.125
