Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
17	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	2.25
18	9	Do5	C5	318	318	1	8	500	95	96	.	2.5
19	10	Do5	C5	318	318	1	16	250	95	96	.	2.625
20	8	Re5	D5	327	327	0	0	0	95	96	.	2.625
21	9	Do5	C5	318	318	1	32	125	95	96	.	2.6875
22	9	Si4b2	B4b1	312	313	1	32	125	95	96	.	2.75
23	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	2.875
24	9	La4	A4	305	305	1	16	250	95	96	.	3
25	9	La4	A4	305	305	1	4	1000	95	96	.	3.5
26	9			-1	-1	1	4	1000	100	0		4
27	52			0	0	1	4	0	60	0		4.5
28	9			-1	-1	1	8	500	100	0		4.75
29	9	Mi5	E5	336	336	1	16	250	95	96	ARANAÐME 	4.875
30	9	Mi5	E5	336	336	1	16	250	95	96	.	5
31	9	Mi5	E5	336	336	1	16	250	95	96	.	5.125
32	9	Re5	D5	327	327	1	16	250	95	96	.	5.25
33	9	Re5	D5	327	327	1	8	500	95	96	.	5.5
34	9	Re5	D5	327	327	1	16	250	95	96	.	5.625
35	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	5.75
36	9	Do5	C5	318	318	1	8	500	95	96	.	6
37	9	Do5	C5	318	318	1	32	125	95	96	.	6.0625
38	9	Re5	D5	327	327	1	32	125	95	96	.	6.125
39	9	Do5	C5	318	318	1	32	125	95	96	.	6.1875
40	9	Si4b2	B4b1	312	313	1	32	125	95	96	.	6.25
41	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	6.375
42	9	La4	A4	305	305	1	16	250	95	96	.	6.5
43	9	Re5	D5	327	327	1	16	250	95	96	.	6.625
44	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	6.75
45	9	Do5	C5	318	318	1	8	500	95	96	.	7
46	10	Do5	C5	318	318	1	16	250	95	96	.	7.125
47	8	Re5	D5	327	327	0	0	0	95	96	.	7.125
48	9	Do5	C5	318	318	1	32	125	95	96	.	7.1875
49	9	Si4b2	B4b1	312	313	1	32	125	95	96	.	7.25
50	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	7.375
51	9	La4	A4	305	305	1	16	250	95	96	.	7.5
52	9	La4	A4	305	305	3	16	750	95	96	.	7.875
53	9	Re5	D5	327	327	1	16	250	95	96	.	8
54	9	Do5	C5	318	318	1	16	250	95	96	.	8.125
55	9	Mi5	E5	336	336	1	16	250	95	96	.	8.25
56	9	Re5	D5	327	327	1	8	500	95	96	.	8.5
