Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	16	250	95	96	ARANAÐME	0.0625
2	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	0.125
3	9	Re5	D5	327	327	1	16	250	95	96	.	0.1875
4	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	0.25
5	9	Do5	C5	318	318	1	8	500	95	96	.	0.375
6	9	Re5	D5	327	327	1	8	500	95	96	.	0.5
7	9	Sol4	G4	296	296	1	16	250	95	96	.	0.5625
8	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	0.625
9	9	Re5	D5	327	327	1	16	250	95	96	.	0.6875
10	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	0.75
11	9	Do5	C5	318	318	1	8	500	95	96	.	0.875
12	9	Re5	D5	327	327	1	8	500	95	96	.	1
13	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	1.0625
14	9	Re5	D5	327	327	1	16	250	95	96	.	1.125
15	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	1.1875
16	9	Sol5	G5	349	349	1	16	250	95	96	.	1.25
17	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	1.3125
18	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	1.375
19	9	Re5	D5	327	327	1	16	250	95	96	.	1.4375
20	9	Do5	C5	318	318	1	16	250	95	96	.	1.5
21	9	Re5	D5	327	327	1	2	2000	95	96	.	2
22	9	Sol5	G5	349	349	1	16	250	95	96	.	2.0625
23	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	2.125
24	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	2.1875
25	9	Sol5	G5	349	349	1	16	250	95	96	.	2.25
26	9	Fa5#4	F5#4	344	344	1	4	1000	95	96	.	2.5
27	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	2.5625
28	9	Re5	D5	327	327	1	16	250	95	96	.	2.625
29	9	Do5	C5	318	318	1	16	250	95	96	.	2.6875
30	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	2.75
31	9	Re5	D5	327	327	1	4	1000	95	96	.	3
32	9	Do5	C5	318	318	1	16	250	95	96	.	3.0625
33	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.125
34	9	Do5	C5	318	318	1	16	250	95	96	.	3.1875
35	9	Re5	D5	327	327	1	16	250	95	96	.	3.25
36	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.3125
37	9	La4b4	A4b4	301	301	1	16	250	95	96	.	3.375
38	9	Sol4	G4	296	296	1	16	250	95	96	.	3.4375
39	9	Fa4#4	F4#4	291	291	1	16	250	95	96	.	3.5
40	9	Sol4	G4	296	296	1	2	2000	95	96	.	4
41	52			0	0	1	8	0	120	0		4.125
42	9	Sol4	G4	296	296	1	16	250	95	96	ARANAÐME	4.1875
43	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.25
44	9	Re5	D5	327	327	1	16	250	95	96	.	4.3125
45	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.375
46	9	Do5	C5	318	318	1	8	500	95	96	.	4.5
47	9	Re5	D5	327	327	1	8	500	95	96	.	4.625
48	9	Sol4	G4	296	296	1	16	250	95	96	.	4.6875
49	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.75
50	9	Re5	D5	327	327	1	16	250	95	96	.	4.8125
51	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.875
52	9	Do5	C5	318	318	1	8	500	95	96	.	5
53	9	Re5	D5	327	327	1	8	500	95	96	.	5.125
54	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	5.1875
55	9	Re5	D5	327	327	1	16	250	95	96	.	5.25
56	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	5.3125
57	9	Sol5	G5	349	349	1	16	250	95	96	.	5.375
58	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	5.4375
59	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	5.5
60	9	Re5	D5	327	327	1	16	250	95	96	.	5.5625
61	9	Do5	C5	318	318	1	16	250	95	96	.	5.625
62	9	Re5	D5	327	327	1	2	2000	95	96	.	6.125
63	9	Sol5	G5	349	349	1	16	250	95	96	.	6.1875
64	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	6.25
65	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	6.3125
66	9	Sol5	G5	349	349	1	16	250	95	96	.	6.375
67	9	Fa5#4	F5#4	344	344	1	4	1000	95	96	.	6.625
68	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	6.6875
69	9	Re5	D5	327	327	1	16	250	95	96	.	6.75
70	9	Do5	C5	318	318	1	16	250	95	96	.	6.8125
71	9	Mi5b4	E5b4	332	332	1	16	250	95	96	.	6.875
72	9	Re5	D5	327	327	1	4	1000	95	96	.	7.125
73	9	Do5	C5	318	318	1	16	250	95	96	.	7.1875
74	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	7.25
75	9	Do5	C5	318	318	1	16	250	95	96	.	7.3125
76	9	Re5	D5	327	327	1	16	250	95	96	.	7.375
77	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	7.4375
78	9	La4b4	A4b4	301	301	1	16	250	95	96	.	7.5
79	9	Sol4	G4	296	296	1	16	250	95	96	.	7.5625
80	9	Fa4#4	F4#4	291	291	1	16	250	95	96	.	7.625
81	9	Sol4	G4	296	296	1	2	2000	95	96	.	8.125
