Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	1	4	476	95	96	Ýs	0.25
2	9	Re5	D5	327	327	1	4	476	95	96	tan	0.5
3	9	Do5	C5	318	318	1	8	238	95	96	bul_	0.625
4	9	Si4b1	B4b1	313	313	3	8	714	95	96	u 	1
5	9			-1	-1	1	8	238	100	0		1.125
6	9	Sol4	G4	296	296	1	16	119	95	96	SAZ	1.1875
7	9	La4	A4	305	305	1	16	119	95	96	.	1.25
8	9	Sol4	G4	296	296	1	8	238	95	96	.	1.375
9	9	La4	A4	305	305	1	8	238	95	96	.	1.5
10	9	Si4b1	B4b1	313	313	1	16	119	95	96	.	1.5625
11	9	La4	A4	305	305	1	16	119	95	96	.	1.625
12	9	Sol4	G4	296	296	1	8	238	95	96	.	1.75
13	9	Si4b1	B4b1	313	313	1	8	238	95	96	.	1.875
14	9	Do5	C5	318	318	1	8	238	95	96	.	2
15	9	Re5	D5	327	327	1	4	476	95	96	Ýs	2.25
16	9	Do5	C5	318	318	1	4	476	95	96	tan	2.5
17	9	Si4b1	B4b1	313	313	1	8	238	95	96	bul_	2.625
18	9	La4	A4	305	305	3	8	714	95	96	u 	3
19	9			-1	-1	1	8	238	100	0		3.125
20	9	Fa4#4	F4#4	291	291	1	16	119	95	96	SAZ	3.1875
21	9	Sol4	G4	296	296	1	16	119	95	96	.	3.25
22	9	Fa4#4	F4#4	291	291	1	8	238	95	96	.	3.375
23	9	Sol4	G4	296	296	1	8	238	95	96	.	3.5
24	9	La4	A4	305	305	1	16	119	95	96	.	3.5625
25	9	Sol4	G4	296	296	1	16	119	95	96	.	3.625
26	9	Fa4#4	F4#4	291	291	1	8	238	95	96	.	3.75
27	9	La4	A4	305	305	1	8	238	95	96	.	3.875
28	9	Si4b1	B4b1	313	313	1	8	238	95	96	.	4
29	9	Do5	C5	318	318	1	4	476	95	96	Ýs	4.25
30	9	Si4b1	B4b1	313	313	1	4	476	95	96	tan	4.5
31	9	La4	A4	305	305	1	8	238	95	96	bul_	4.625
32	9	Sol4	G4	296	296	1	8	238	95	96	u 	4.75
33	9	Si4b1	B4b1	313	313	1	4	476	95	96	ar	5
34	9	La4	A4	305	305	1	2	952	95	96	týk 	5.5
35	9	Re5	D5	327	327	1	4	476	95	96	hiç 	5.75
36	9			-1	-1	1	4	476	100	0		6
37	9	Si4b1	B4b1	313	313	3	8	714	99	96	sev	6.375
38	9	La4	A4	305	305	1	8	238	95	96		6.5
39	9	La4	A4	305	305	1	4	476	95	96	mi	6.75
40	9	La4	A4	305	305	1	8	238	99	96	yo	6.875
41	9	Sol4	G4	296	296	1	8	238	95	96		7
42	9	Sol4	G4	296	296	1	8	238	95	96	rum  	7.125
43	9	Sol5	G5	349	349	1	8	238	95	96	SAZ	7.25
44	9	Fa5#4	F5#4	344	344	1	8	238	95	96	.	7.375
45	9	Mi5	E5	336	336	1	8	238	95	114	.	7.5
46	9	Re5	D5	327	327	1	8	238	95	114	.	7.625
47	9	Do5	C5	318	318	1	8	238	95	114	.	7.75
48	9	Si4b1	B4b1	313	313	1	8	238	95	114	.	7.875
49	9	La4	A4	305	305	1	8	238	95	114	.	8
50	52			0	0	1	8	0	127	114		8.125
51	9	Mi5	E5	336	336	1	4	476	95	96	Ýs	8.375
52	9	Re5	D5	327	327	1	4	476	95	96	tan	8.625
53	9	Do5	C5	318	318	1	8	238	95	96	bul_	8.75
54	9	Si4b1	B4b1	313	313	3	8	714	95	96	u 	9.125
55	9			-1	-1	1	8	238	100	0		9.25
56	9	Sol4	G4	296	296	1	16	119	95	96	SAZ	9.3125
57	9	La4	A4	305	305	1	16	119	95	96	.	9.375
58	9	Sol4	G4	296	296	1	8	238	95	96	.	9.5
59	9	La4	A4	305	305	1	8	238	95	96	.	9.625
60	9	Si4b1	B4b1	313	313	1	16	119	95	96	.	9.6875
61	9	La4	A4	305	305	1	16	119	95	96	.	9.75
62	9	Sol4	G4	296	296	1	8	238	95	96	.	9.875
63	9	Si4b1	B4b1	313	313	1	8	238	95	96	.	10
64	9	Do5	C5	318	318	1	8	238	95	96	.	10.125
65	9	Re5	D5	327	327	1	4	476	95	96	Ýs	10.375
66	9	Do5	C5	318	318	1	4	476	95	96	tan	10.625
67	9	Si4b1	B4b1	313	313	1	8	238	95	96	bul_	10.75
68	9	La4	A4	305	305	3	8	714	95	96	u 	11.125
69	9			-1	-1	1	8	238	100	0		11.25
70	9	Fa4#4	F4#4	291	291	1	16	119	95	96	SAZ	11.3125
71	9	Sol4	G4	296	296	1	16	119	95	96	.	11.375
72	9	Fa4#4	F4#4	291	291	1	8	238	95	96	.	11.5
73	9	Sol4	G4	296	296	1	8	238	95	96	.	11.625
74	9	La4	A4	305	305	1	16	119	95	96	.	11.6875
75	9	Sol4	G4	296	296	1	16	119	95	96	.	11.75
76	9	Fa4#4	F4#4	291	291	1	8	238	95	96	.	11.875
