Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5#3	F5#4	343	344	1	16	250	95	96	ARANAÐME 	5.555556E-02
2	9	Sol5	G5	349	349	1	16	250	95	96	.	0.1111111
3	9	La5	A5	358	358	1	16	250	95	96	.	0.1666667
4	9	Si5b2	B5b1	365	366	1	16	250	95	96	.	0.2222222
5	9	Do6	C6	371	371	1	8	500	95	96	.	0.3333333
6	9	Si5b2	B5b1	365	366	1	16	250	95	96	.	0.3888889
7	9	La5	A5	358	358	1	16	250	95	96	.	0.4444444
8	9	La5	A5	358	358	1	16	250	95	96	.	0.5
9	9	Sol5	G5	349	349	1	16	250	95	96	.	0.5555556
10	9	Sol5	G5	349	349	1	16	250	95	96	.	0.6111111
11	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	0.6666667
12	9	Sol5	G5	349	349	1	16	250	95	96	.	0.7222222
13	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	0.7777778
14	9	Mi5b3	E5b4	333	332	1	16	250	95	96	.	0.8333333
15	9	Re5	D5	327	327	1	16	250	95	96	.	0.8888889
16	9	Do5	C5	318	318	1	8	500	95	96	.	1
17	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	1.055556
18	9	Sol5	G5	349	349	1	16	250	95	96	.	1.111111
19	9	La5	A5	358	358	1	16	250	95	96	.	1.166667
20	9	Si5b2	B5b1	365	366	1	16	250	95	96	.	1.222222
21	9	Re6	D6	380	380	1	16	250	95	96	.	1.277778
22	9	Do6	C6	371	371	1	16	250	95	96	.	1.333333
23	9	Si5b2	B5b1	365	366	1	16	250	95	96	.	1.388889
24	9	La5	A5	358	358	1	16	250	95	96	.	1.444444
25	9	La5	A5	358	358	1	16	250	95	96	.	1.5
26	9	Sol5	G5	349	349	1	16	250	95	96	.	1.555556
27	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	1.611111
28	9	Sol5	G5	349	349	1	16	250	95	96	.	1.666667
29	9	La5	A5	358	358	1	4	1000	95	96	.	1.888889
30	9			-1	-1	1	8	500	100	0	.	2
31	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	2.055556
32	9	Sol5	G5	349	349	1	16	250	95	96	.	2.111111
33	9	La5	A5	358	358	1	16	250	95	96	.	2.166667
34	9	Si5b2	B5b1	365	366	1	16	250	95	96	.	2.222222
35	9	Do6	C6	371	371	1	8	500	95	96	.	2.333333
36	9	Si5b2	B5b1	365	366	1	16	250	95	96	.	2.388889
37	9	La5	A5	358	358	1	16	250	95	96	.	2.444444
38	9	La5	A5	358	358	1	16	250	95	96	.	2.5
39	9	Sol5	G5	349	349	1	16	250	95	96	.	2.555556
40	9	Sol5	G5	349	349	1	16	250	95	96	.	2.611111
41	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	2.666667
42	9	Sol5	G5	349	349	1	16	250	95	96	.	2.722222
43	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	2.777778
44	9	Mi5b3	E5b4	333	332	1	16	250	95	96	.	2.833333
45	9	Re5	D5	327	327	1	16	250	95	96	.	2.888889
46	9	Do5	C5	318	318	1	8	500	95	96	.	3
47	9	Si4b2	B4b1	312	313	1	16	250	95	96		3.055556
48	9	Do5	C5	318	318	1	16	250	95	96	.	3.111111
49	9	Re5	D5	327	327	1	16	250	95	96	.	3.166667
50	9	Mi5b3	E5b4	333	332	1	16	250	95	96	.	3.222222
51	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	3.277778
52	9	Mi5b3	E5b4	333	332	1	16	250	95	96	.	3.333333
53	9	Re5	D5	327	327	1	16	250	95	96	.	3.388889
54	9	Do5	C5	318	318	1	16	250	95	96	.	3.444444
55	9	Do5	C5	318	318	1	16	250	95	96	.	3.5
56	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	3.555556
57	9	Si4b2	B4b1	312	313	1	16	250	95	96	.	3.611111
58	9	La4	A4	305	305	1	16	250	95	96	.	3.666667
59	9	La4	A4	305	305	1	4	1000	95	96	.	3.888889
60	9			-1	-1	1	8	500	100	0		4
