Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	Re5	D5	327	327	1	4	500	95	96	.	0.2222222
2	9			-1	-1	1	2	1000	100	0	.	0.6666667
3	9	Sol5	G5	349	349	1	8	250	95	96	ARANAÐME	0.7777778
4	9	Fa5#3	F5#4	343	344	1	8	250	95	96	.	0.8888889
5	9	Mi5b3	E5b4	333	332	1	8	250	95	96	.	1
6	9	Re5	D5	327	327	3	16	375	95	96	.	1.166667
7	9	Do5	C5	318	318	1	16	125	95	96	.	1.222222
8	9	Mi5b3	E5b4	333	332	1	16	125	95	96	.	1.277778
9	9	Re5	D5	327	327	1	16	125	95	96	.	1.333333
10	9	Do5	C5	318	318	1	16	125	95	96	.	1.388889
11	9	Si4b2	B4b1	312	313	1	16	125	95	96	.	1.444444
12	9	Do5	C5	318	318	1	4	500	95	96	.	1.666667
13	9	Sol5	G5	349	349	1	16	125	95	96	.	1.722222
14	9	Fa5#3	F5#4	343	344	1	16	125	95	96	.	1.777778
15	9	Sol5	G5	349	349	1	16	125	95	96	.	1.833333
16	9	La5	A5	358	358	1	16	125	95	96	.	1.888889
17	9	Fa5#3	F5#4	343	344	1	16	125	95	96	.	1.944444
18	9	Mi5b3	E5b4	333	332	1	16	125	95	96	.	2
19	9	Re5	D5	327	327	1	4	500	95	96	.	2.222222
20	9			-1	-1	1	2	1000	100	0	.	2.666667
21	9	Sol5	G5	349	349	1	8	250	95	96	.	2.777778
22	9	Fa5#3	F5#4	343	344	1	8	250	95	96	.	2.888889
23	9	Mi5b3	E5b4	333	332	1	8	250	95	96	.	3
24	9	Re5	D5	327	327	3	16	375	95	96	.	3.166667
25	9	Do5	C5	318	318	1	16	125	95	96	.	3.222222
26	9	Mi5b3	E5b4	333	332	1	16	125	95	96	.	3.277778
27	9	Re5	D5	327	327	1	16	125	95	96	.	3.333333
28	9	Do5	C5	318	318	1	16	125	95	96	.	3.388889
29	9	Si4b2	B4b1	312	313	1	16	125	95	96	.	3.444444
30	9	Do5	C5	318	318	1	4	500	95	96	.	3.666667
31	9	Sol5	G5	349	349	1	8	250	95	96	.	3.777778
32	9	Fa5#3	F5#4	343	344	1	8	250	95	96	.	3.888889
