Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	La4	A4	305	305	1	4	1176	95	96	.	0.2222222
2	9	Fa4#3	F4#4	290	291	1	16	294	95	96	Se	0.2777778
3	9	Sol4	G4	296	296	1	16	294	99	96	ren	0.3333333
4	9	La4	A4	305	305	1	8	588	95	96		0.4444444
5	9	La4	A4	305	305	1	8	588	95	96	ler 	0.5555556
6	9	La4	A4	305	305	1	8	588	99	96	se	0.6666667
7	9	La4	A4	305	305	3	8	1765	100	96		1
8	9	La4	A4	305	305	1	4	1176	95	96		1.222222
9	9	Si5b2	B5b1	365	366	1	16	294	99	96	ren	1.277778
10	11	Do6	C6	371	371	1	16	294	95	96		1.333333
11	9	Do6	C6	371	371	1	8	588	95	96	ler 	1.444444
12	9	Do6	C6	371	371	1	8	588	95	96	yük	1.555556
13	9	Do6	C6	371	371	1	16	294	99	96	sek 	1.611111
14	11	La5	A5	358	358	1	16	294	99	96		1.666667
15	9	La5	A5	358	358	1	4	1176	95	96		1.888889
16	9	La5	A5	358	358	1	8	588	95	96	de 	2
17	9	Fa5#3	F5#4	343	344	1	16	294	99	96	se	2.055556
18	9	Sol5	G5	349	349	1	16	294	95	96		2.111111
19	9	La5	A5	358	358	1	16	294	99	96	ren	2.166667
20	9	Sol5	G5	349	349	1	16	294	99	96		2.222222
21	9	Si5b5	B5b5	362	362	3	32	441	99	96		2.305556
22	9	La5	A5	358	358	1	32	147	95	96		2.333333
23	9	Sol5	G5	349	349	1	16	294	99	96	ler 	2.388889
24	9	Fa5#3	F5#4	343	344	1	16	294	95	96		2.444444
25	9	Sol5	G5	349	349	3	16	882	99	96	of  	2.611111
26	9	Re5	D5	327	327	1	16	294	95	96		2.666667
27	1	Sol5	G5	349	349	1	8	588	95	96	SAZ	2.777778
28	1	Sol5	G5	349	349	1	8	588	95	96	.	2.888889
29	1	Sol5	G5	349	349	1	8	588	95	96	.	3
30	1	Sol5	G5	349	349	1	16	294	95	96	.	3.055556
31	1	Fa5#3	F5#4	343	344	1	16	294	95	96	.	3.111111
32	1	Mi5	E5	336	336	1	16	294	95	96	.	3.166667
33	1	Re5	D5	327	327	1	16	294	95	96	.	3.222222
34	9	Sol5	G5	349	349	1	8	588	95	96	Ben 	3.333333
35	9	Fa5#3	F5#4	343	344	1	16	294	95	96	gi	3.388889
36	9	Sol5	G5	349	349	1	16	294	95	96	di	3.444444
37	9	La5	A5	358	358	1	8	588	95	96	yo	3.555556
