Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	357	95	96	Gö	0.125
2	9	Si4b1	B4b1	313	313	3	8	1071	95	96	nül 	0.5
3	9	Do5	C5	318	318	3	8	1071	95	96	bah	0.875
4	9	Re5	D5	327	327	1	8	357	95	96	çe	1
5	9	Re5	D5	327	327	1	8	357	99	96	miz	1.125
6	9	Do5	C5	318	318	1	8	357	99	96		1.25
7	9	Si4b1	B4b1	313	313	1	8	357	99	96		1.375
8	9	La4#4	A4#4	309	309	1	8	357	95	96		1.5
9	9	Si4b1	B4b1	313	313	1	4	714	95	96	de 	1.75
10	9			-1	-1	1	4	714	100	0		2
11	9			-1	-1	1	8	357	100	0		2.125
12	9	Do5	C5	318	318	1	4	714	95	96	kök	2.375
13	9	Re5	D5	327	327	1	8	357	95	96	lü 	2.5
14	9	Mi5b1	E5b1	335	335	1	2	1428	95	96	bir 	3
15	9	Re5	D5	327	327	1	8	357	95	96	çý	3.125
16	9	Sol5	G5	349	349	3	8	1071	95	96	nar 	3.5
17	9	Fa5#4	F5#4	344	344	1	16	179	99	96	var	3.5625
18	9	Mi5b1	E5b1	335	335	1	8	357	99	96		3.6875
19	9	Re5	D5	327	327	1	16	179	95	96		3.75
20	9	Re5	D5	327	327	1	4	714	95	96	dý  	4
21	9	La5	A5	358	358	1	8	357	95	96	SAZ	4.125
22	9	Sol5	G5	349	349	1	8	357	95	96	.	4.25
23	9	Fa5#4	F5#4	344	344	1	8	357	95	96	.	4.375
24	9	Mi5b1	E5b1	335	335	1	8	357	95	96	.	4.5
25	9	Re5	D5	327	327	1	8	357	95	96	.	4.625
26	9	Mi5b1	E5b1	335	335	1	8	357	95	96	.	4.75
27	9	Fa5#4	F5#4	344	344	1	8	357	95	96	.	4.875
28	9	Sol5	G5	349	349	1	8	357	95	96	.	5
29	9	Fa5#4	F5#4	344	344	1	8	357	95	96	.	5.125
30	9	Mi5b1	E5b1	335	335	1	8	357	95	96	.	5.25
31	9	Re5	D5	327	327	1	8	357	95	96	.	5.375
32	9	Do5	C5	318	318	1	8	357	95	96	.	5.5
33	9	Mi5b1	E5b1	335	335	1	8	357	95	96	.	5.625
34	9	Sol5	G5	349	349	1	8	357	95	96	.	5.75
35	9	Fa5#4	F5#4	344	344	1	4	714	95	96	.	6
36	9	Sol5	G5	349	349	1	8	357	95	96	A	6.125
37	9	La5	A5	358	358	1	4	714	99	96	til	6.375
38	9	Sol5	G5	349	349	1	8	357	95	96		6.5
39	9	Fa5#4	F5#4	344	344	1	4	714	95	96	la 	6.75
40	9			-1	-1	1	4	714	100	0		7
41	9	Mi5b1	E5b1	335	335	1	8	357	95	96	A	7.125
42	9	Sol5	G5	349	349	1	4	714	99	96	til	7.375
43	9	Fa5#4	F5#4	344	344	1	8	357	95	96		7.5
44	9	Mi5b1	E5b1	335	335	1	4	714	95	96	la 	7.75
45	9			-1	-1	1	4	714	100	0		8
46	9	Re5	D5	327	327	1	8	357	95	96	A	8.125
47	9	La5	A5	358	358	1	4	714	95	96	til	8.375
48	9	Sol5	G5	349	349	1	8	357	95	96	la 	8.5
49	9	Sol5	G5	349	349	1	4	714	95	96	Köy	8.75
50	9	Fa5#4	F5#4	344	344	1	4	714	95	96	men 	9
51	9	Sol5	G5	349	349	1	8	357	99	96	ad	9.125
52	9	Fa5#4	F5#4	344	344	1	8	357	99	96		9.25
53	9	Mi5b1	E5b1	335	335	1	8	357	99	96		9.375
54	9	Re5	D5	327	327	1	8	357	95	96		9.5
