Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	1	4	1000	95	96	1. HANE	0.2
2	9	Re5#4	D5#4	331	331	1	8	500	95	96		0.3
3	9	Mi5	E5	336	336	1	16	250	95	96		0.35
4	9	Fa5#1	F5#1	341	341	1	16	250	95	96		0.4
5	9	Mi5	E5	336	336	1	16	250	95	96		0.45
6	9	Re5#4	D5#4	331	331	1	16	250	95	96		0.5
7	9	Mi5	E5	336	336	1	8	500	95	96		0.6
8	9	Fa5#1	F5#1	341	341	1	8	500	95	96		0.7
9	9	Sol5#4	G5#4	353	353	1	16	250	95	96		0.75
10	9	La5	A5	358	358	1	16	250	95	96		0.8
11	9	Sol5#4	G5#4	353	353	1	16	250	95	96		0.85
12	9	Fa5#1	F5#1	341	341	1	16	250	95	96		0.9
13	9	Mi5	E5	336	336	1	8	500	95	96		1
14	9	Fa5	F5	340	340	1	8	500	95	96		1.1
15	9	Mi5	E5	336	336	1	8	500	95	96		1.2
16	9	Re5#4	D5#4	331	331	1	8	500	95	96		1.3
17	9	Mi5	E5	336	336	1	16	250	95	96		1.35
18	9	Re5#4	D5#4	331	331	1	16	250	95	96		1.4
19	9	Do5	C5	318	318	1	16	250	95	96		1.45
20	9	Si4b1	B4b1	313	313	1	16	250	95	96		1.5
21	9	Do5	C5	318	318	1	8	500	95	96		1.6
22	9	Re5#4	D5#4	331	331	1	8	500	95	96		1.7
23	9	Mi5	E5	336	336	1	4	1000	95	96		1.9
24	9			-1	-1	1	8	500	100	0		2
25	9	Mi5	E5	336	336	1	16	250	95	96		2.05
26	9	Fa5	F5	340	340	1	16	250	95	96		2.1
27	9	Sol5#4	G5#4	353	353	1	8	500	95	96		2.2
28	9	Fa5#1	F5#1	341	341	1	8	500	95	96		2.3
29	9	Mi5	E5	336	336	3	16	750	95	96		2.45
30	9	Si5b1	B5b1	366	366	1	16	250	95	96		2.5
31	9	La5	A5	358	358	1	8	500	95	96		2.6
32	9	Sol5#4	G5#4	353	353	1	8	500	95	96		2.7
33	9	Fa5#1	F5#1	341	341	1	4	1000	95	96		2.9
34	9	Mi5	E5	336	336	1	16	250	95	96		2.95
35	9	Re5#4	D5#4	331	331	1	16	250	95	96		3
36	9	Mi5	E5	336	336	1	4	1000	95	96		3.2
37	9	Re5#4	D5#4	331	331	1	8	500	95	96		3.3
38	9	Si5b1	B5b1	366	366	1	16	250	95	96		3.35
39	9	La5	A5	358	358	1	8	500	95	96		3.45
40	9	Sol5#4	G5#4	353	353	1	16	250	95	96		3.5
41	9	Sol5#4	G5#4	353	353	1	16	250	95	96		3.55
42	9	Fa5#1	F5#1	341	341	1	16	250	95	96		3.6
43	9	Fa5#1	F5#1	341	341	1	16	250	95	96		3.65
44	9	Mi5	E5	336	336	1	16	250	95	96		3.7
45	9	Mi5	E5	336	336	1	4	1000	95	96		3.9
46	9			-1	-1	1	8	500	100	0		4
47	9	Mi5	E5	336	336	1	16	250	95	96	TESLÝM	4.05
48	9	Fa5	F5	340	340	1	16	250	95	96		4.1
49	9	Mi5	E5	336	336	1	8	500	95	96		4.2
50	9	Re5	D5	327	327	1	8	500	95	96		4.3
51	9	Do5	C5	318	318	1	16	250	95	96		4.35
52	9	Re5	D5	327	327	1	16	250	95	96		4.4
53	9	Do5	C5	318	318	1	16	250	95	96		4.45
54	9	Si4b1	B4b1	313	313	1	16	250	95	96		4.5
55	9	Do5	C5	318	318	1	8	500	95	96		4.6
56	9	Re5	D5	327	327	1	8	500	95	96		4.7
57	9	Mi5	E5	336	336	1	4	1000	95	96		4.9
58	9			-1	-1	1	8	500	100	0		5
59	9	Mi5	E5	336	336	1	16	250	95	96		5.05
60	9	Fa5	F5	340	340	1	16	250	95	96		5.1
61	9	Re5	D5	327	327	1	16	250	95	96		5.15
62	9	Mi5	E5	336	336	1	16	250	95	96		5.2
63	9	Do5	C5	318	318	1	16	250	95	96		5.25
64	9	Re5	D5	327	327	1	16	250	95	96		5.3
65	9	Do5	C5	318	318	1	8	500	95	96		5.4
66	9	Si4b1	B4b1	313	313	1	8	500	95	96		5.5
67	9	La4	A4	305	305	1	16	250	95	96		5.55
68	9	Si4b1	B4b1	313	313	1	16	250	95	96		5.6
69	9	La4	A4	305	305	1	16	250	95	96		5.65
70	9	Sol4	G4	296	296	1	16	250	95	96		5.7
71	9	La4	A4	305	305	1	8	500	95	96		5.8
72	9	Si4b1	B4b1	313	313	1	8	500	95	96		5.9
73	9	Do5	C5	318	318	1	8	500	95	96		6
74	9	Do5	C5	318	318	1	4	1000	95	96		6.2
75	9	Si4b1	B4b1	313	313	1	8	500	95	96		6.3
76	9	Si4b1	B4b1	313	313	1	16	250	95	96		6.35
77	9	La4	A4	305	305	1	16	250	95	96		6.4
78	9	Sol4	G4	296	296	1	8	500	95	96		6.5
79	9	Mi5	E5	336	336	1	16	250	95	96		6.55
80	9	Re5	D5	327	327	1	16	250	95	96		6.6
81	9	Re5	D5	327	327	1	16	250	95	96		6.65
82	9	Do5	C5	318	318	1	16	250	95	96		6.7
83	9	Do5	C5	318	318	1	4	1000	95	96		6.9
84	9			-1	-1	1	8	500	100	0		7
85	9	Si4b1	B4b1	313	313	1	4	1000	95	96		7.2
86	9	Do5	C5	318	318	1	8	500	95	96		7.3
87	9	Si4b2	B4b1	312	313	1	16	250	95	96		7.35
88	9	La4	A4	305	305	1	16	250	95	96		7.4
89	9	Si4b2	B4b1	312	313	1	16	250	95	96		7.45
90	9	Do5	C5	318	318	1	16	250	95	96		7.5
91	9	Si4b2	B4b1	312	313	1	16	250	95	96		7.55
92	9	La4	A4	305	305	1	16	250	95	96		7.6
93	9	Sol4	G4	296	296	1	16	250	95	96		7.65
94	9	Si4b2	B4b1	312	313	1	16	250	95	96		7.7
95	9	La4	A4	305	305	1	4	1000	95	96		7.9
96	9			-1	-1	1	8	500	100	0		8
97	9	Re5	D5	327	327	1	4	1000	95	96	2. HANE	8.2
98	9	Mi5	E5	336	336	1	8	500	95	96		8.3
99	9	Fa5#4	F5#4	344	344	1	16	250	95	96		8.35
100	9	Sol5	G5	349	349	1	16	250	95	96		8.4
101	9	Fa5#4	F5#4	344	344	1	16	250	95	96		8.45
102	9	Mi5	E5	336	336	1	16	250	95	96		8.5
103	9	Fa5#4	F5#4	344	344	1	8	500	95	96		8.6
104	9	Sol5	G5	349	349	1	8	500	95	96		8.7
105	9	La5	A5	358	358	1	16	250	95	96		8.75
106	9	Si5b1	B5b1	366	366	1	16	250	95	96		8.8
107	9	La5	A5	358	358	1	8	500	95	96		8.9
108	9	Sol5	G5	349	349	1	8	500	95	96		9
109	9	Fa5#4	F5#4	344	344	1	4	1000	95	96		9.2
110	9	Fa5#4	F5#4	344	344	1	16	250	95	96		9.25
111	9	Fa5#4	F5#4	344	344	1	16	250	95	96		9.3
112	9	Fa5#4	F5#4	344	344	3	16	750	95	96		9.45
113	9	Sol5	G5	349	349	1	16	250	95	96		9.5
114	9	Fa5#4	F5#4	344	344	1	16	250	95	96		9.55
115	9	Mi5	E5	336	336	1	16	250	95	96		9.6
116	9	Re5	D5	327	327	1	16	250	95	96		9.65
117	9	Fa5#4	F5#4	344	344	1	16	250	95	96		9.7
118	9	Mi5	E5	336	336	1	4	1000	95	96		9.9
119	9			-1	-1	1	8	500	100	0		10
120	9	Mi5	E5	336	336	1	8	500	95	96		10.1
121	9	Fa5#1	F5#1	341	341	1	8	500	95	96		10.2
122	9	Sol5#4	G5#4	353	353	1	8	500	95	96		10.3
123	9	Sol5#4	G5#4	353	353	1	8	500	95	96		10.4
124	9	Fa5#1	F5#1	341	341	1	8	500	95	96		10.5
125	9	Fa5#1	F5#1	341	341	1	8	500	95	96		10.6
126	9	Mi5	E5	336	336	1	8	500	95	96		10.7
127	9	Si5b1	B5b1	366	366	1	8	500	95	96		10.8
128	9	La5	A5	358	358	1	8	500	95	96		10.9
129	9	Si5b1	B5b1	366	366	1	8	500	95	96		11
130	9	La5b5	A5b5	353	353	1	4	1000	95	96		11.2
131	9	Fa5	F5	340	340	1	8	500	95	96		11.3
132	9	Si5b1	B5b1	366	366	1	8	500	95	96		11.4
133	9	La5	A5	358	358	1	16	250	95	96		11.45
134	9	La5b5	A5b5	353	353	1	16	250	95	96		11.5
135	9	La5b5	A5b5	353	353	1	16	250	95	96		11.55
136	9	Fa5	F5	340	340	1	16	250	95	96		11.6
137	9	Fa5	F5	340	340	1	16	250	95	96		11.65
138	9	Mi5	E5	336	336	1	16	250	95	96		11.7
139	9	Mi5	E5	336	336	1	4	1000	95	96		11.9
140	9			-1	-1	1	8	500	100	0		12
141	52			0	0	1	8	0	120	0		12.1
142	9	Mi5	E5	336	336	1	16	250	95	96	TESLÝM	12.15
143	9	Fa5	F5	340	340	1	16	250	95	96		12.2
144	9	Mi5	E5	336	336	1	8	500	95	96		12.3
145	9	Re5	D5	327	327	1	8	500	95	96		12.4
146	9	Do5	C5	318	318	1	16	250	95	96		12.45
147	9	Re5	D5	327	327	1	16	250	95	96		12.5
148	9	Do5	C5	318	318	1	16	250	95	96		12.55
149	9	Si4b1	B4b1	313	313	1	16	250	95	96		12.6
150	9	Do5	C5	318	318	1	8	500	95	96		12.7
151	9	Re5	D5	327	327	1	8	500	95	96		12.8
152	9	Mi5	E5	336	336	1	4	1000	95	96		13
153	9			-1	-1	1	8	500	100	0		13.1
154	9	Mi5	E5	336	336	1	16	250	95	96		13.15
155	9	Fa5	F5	340	340	1	16	250	95	96		13.2
156	9	Re5	D5	327	327	1	16	250	95	96		13.25
