Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	625	99	96	Göz	0.1428571
2	9	La4	A4	305	305	1	4	625	95	96		0.2857143
3	9	La4	A4	305	305	1	4	625	95	96	le	0.4285714
4	9	La4	A4	305	305	3	8	938	99	96	rin 	0.6428571
5	9	Do5	C5	318	318	1	8	312	95	96		0.7142857
6	10	Si4b2	B4b1	312	313	1	8	312	99	96	hay	0.7857143
7	8	Do5	C5	318	318	0	0	0	99	96		0.7857143
8	9	Si4b2	B4b1	312	313	1	16	156	99	96		0.8214286
9	9	La4	A4	305	305	1	16	156	99	96		0.8571429
10	9	Sol4	G4	296	296	1	4	625	95	96		1
11	9	Re5	D5	327	327	3	16	469	99	96	ran 	1.107143
12	9	Do5	C5	318	318	1	16	156	99	96		1.142857
13	9	Si4b2	B4b1	312	313	1	4	625	66	96		1.285714
14	9	Do5	C5	318	318	1	8	312	99	96	ba	1.357143
15	9	Re5	D5	327	327	1	8	312	95	96		1.428571
16	9	Do5	C5	318	318	1	8	312	99	96	kar	1.5
17	9	Si4b2	B4b1	312	313	1	8	312	99	96		1.571429
18	9	Si4b2	B4b1	312	313	1	8	312	99	96		1.642857
19	9	La4	A4	305	305	1	8	312	95	96		1.714286
20	9	La4	A4	305	305	1	2	1250	95	96	mýþ 	2
21	9	La4	A4	305	305	1	8	312	99	96	gör	2.071429
22	9	Si4b2	B4b1	312	313	1	8	312	99	96		2.142857
23	9	Do5	C5	318	318	1	8	312	99	96		2.214286
24	9	Re5	D5	327	327	1	8	312	95	96		2.285714
25	9	Mi5	E5	336	336	1	8	312	99	96	me	2.357143
26	9	Fa5	F5	340	340	1	8	312	95	96		2.428571
27	9	Mi5	E5	336	336	1	8	312	99	96	yip 	2.5
28	9	Re5	D5	327	327	1	8	312	99	96		2.571429
29	9	Re5	D5	327	327	1	8	312	99	96		2.642857
30	9	Do5	C5	318	318	1	8	312	66	96		2.714286
31	9	Si4b2	B4b1	312	313	3	16	469	99	96	ýs	2.821429
32	9	La4	A4	305	305	1	16	156	99	96		2.857143
33	9	Sol4	G4	296	296	1	4	625	95	96		3
34	9	Re5	D5	327	327	3	16	469	99	96	râ	3.107143
35	9	Do5	C5	318	318	1	16	156	99	96		3.142857
36	9	Si4b2	B4b1	312	313	1	4	625	95	96		3.285714
37	9	Do5	C5	318	318	1	8	312	99	96	rý	3.357143
38	9	Re5	D5	327	327	1	8	312	95	96		3.428571
39	9	Re5	D5	327	327	3	8	938	95	96	mý  	3.642857
40	9	Si4b2	B4b1	312	313	1	16	156	95	96	SAZ	3.678571
