Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	263	95	96	ARANAÐME	0.125
2	9	Sol4	G4	296	296	1	8	263	95	96	.	0.25
3	9	La4	A4	305	305	1	8	263	95	96	.	0.375
4	9	Si4b1	B4b1	313	313	1	8	263	95	96	.	0.5
5	9	Do5	C5	318	318	1	16	132	95	96	.	0.5625
6	9	Do5	C5	318	318	1	16	132	95	96	.	0.625
7	9	Re5	D5	327	327	1	8	263	95	96	.	0.75
8	9	Re5	D5	327	327	1	8	263	95	96	.	0.875
9	9			-1	-1	1	8	263	100	0	.	1
10	10	Re5	D5	327	327	1	8	263	95	96	.	1.125
11	8	Sol5	G5	349	349	0	0	0	95	96	.	1.125
12	9	Fa5#4	F5#4	344	344	1	16	132	95	96	.	1.1875
13	9	Sol5	G5	349	349	1	16	132	95	96	.	1.25
14	9	Mi5b1	E5b1	335	335	1	8	263	95	96	.	1.375
15	9	Re5	D5	327	327	1	8	263	95	96	.	1.5
16	12	Re5	D5	327	327	1	8	263	95	96	.	1.625
17	9	Do5	C5	318	318	1	16	132	95	96	.	1.6875
18	11	Si4b1	B4b1	313	313	1	16	132	95	96	.	1.75
19	9	Si4b1	B4b1	313	313	1	4	526	95	96	.	2
20	9	Sol4	G4	296	296	1	8	263	95	96	.	2.125
21	9	Sol4	G4	296	296	1	8	263	95	96	.	2.25
22	9	La4	A4	305	305	1	8	263	95	96	.	2.375
23	9	Si4b1	B4b1	313	313	1	8	263	95	96	.	2.5
24	9	Do5	C5	318	318	1	16	132	95	96	.	2.5625
25	9	Do5	C5	318	318	1	16	132	95	96	.	2.625
26	9	Re5	D5	327	327	1	8	263	95	96	.	2.75
27	9	Re5	D5	327	327	1	8	263	95	96	.	2.875
28	9			-1	-1	1	8	263	100	0	.	3
29	10	Re5	D5	327	327	1	8	263	95	96	.	3.125
30	8	Sol5	G5	349	349	0	0	0	95	96	.	3.125
31	9	Fa5#4	F5#4	344	344	1	16	132	95	96	.	3.1875
32	9	Sol5	G5	349	349	1	16	132	95	96	.	3.25
33	9	Mi5b1	E5b1	335	335	1	8	263	95	96	.	3.375
34	9	Re5	D5	327	327	1	8	263	95	96	.	3.5
35	12	Re5	D5	327	327	1	8	263	95	96	.	3.625
36	9	Do5	C5	318	318	1	16	132	95	96	.	3.6875
37	11	Si4b1	B4b1	313	313	1	16	132	95	96	.	3.75
38	9	Si4b1	B4b1	313	313	1	4	526	95	96	.	4
39	9			-1	-1	1	4	526	100	0		4.25
40	9	Fa5#4	F5#4	344	344	1	8	263	95	96	Ke	4.375
41	9	Sol5	G5	349	349	1	8	263	95	96	ten 	4.5
42	9	Sol5	G5	349	349	1	8	263	95	96	köy	4.625
43	9	Sol5	G5	349	349	1	8	263	99	96	nek 	4.75
44	9	Sol5	G5	349	349	1	4	526	99	96		5
45	9	Sol5	G5	349	349	1	8	263	99	96		5.125
46	9	Fa5#4	F5#4	344	344	1	8	263	95	96		5.25
47	9	La5	A5	358	358	1	8	263	95	96	fil	5.375
48	9	La5	A5	358	358	1	8	263	95	96	fi	5.5
49	12	Sol5	G5	349	349	1	8	263	99	96	li  	5.625
50	9	Fa5#4	F5#4	344	344	1	16	132	99	96		5.6875
51	9	Sol5	G5	349	349	1	16	132	99	96		5.75
52	12	Mi5b1	E5b1	335	335	2	16	263	99	96		5.875
53	9	Re5	D5	327	327	1	8	263	95	96		6
54	9			-1	-1	1	4	526	100	0		6.25
55	9	La5	A5	358	358	1	8	263	95	96	Ner	6.375
56	9	La5	A5	358	358	1	8	263	95	96	den_	6.5
57	12	Sol5	G5	349	349	1	8	263	99	96	al	6.625
58	9	Fa5#4	F5#4	344	344	1	16	132	99	96		6.6875
59	9	Sol5	G5	349	349	1	16	132	95	96		6.75
60	12	Mi5b1	E5b1	335	335	2	16	263	99	96	dýn 	6.875
61	9	Re5	D5	327	327	1	8	263	95	96		7
62	9	Re5	D5	327	327	1	8	263	95	96	bu 	7.125
63	9	Mi5b1	E5b1	335	335	1	4	526	95	96	di	7.375
64	9	Re5	D5	327	327	1	8	263	95	96	li 	7.5
65	9	Re5	D5	327	327	1	8	263	95	96	ne	7.625
66	9	Do5	C5	318	318	1	16	132	99	96	ne	7.6875
67	11	Si4b1	B4b1	313	313	1	16	132	95	96		7.75
68	9	Si4b1	B4b1	313	313	1	4	526	50	96	ler  	8
69	9	Sol4	G4	296	296	1	8	263	95	96	Am	8.125
70	9	Sol4	G4	296	296	1	8	263	95	96	ma	8.25
71	9	La4	A4	305	305	1	8	263	95	96	ða	8.375
72	9	Si4b1	B4b1	313	313	1	8	263	95	96	nýn 	8.5
73	9	Do5	C5	318	318	1	16	132	95	96	ne	8.5625
74	9	Do5	C5	318	318	1	16	132	99	96	ne	8.625
75	9	Re5	D5	327	327	1	8	263	95	96		8.75
76	9	Re5	D5	327	327	1	8	263	95	96	ler  	8.875
77	9			-1	-1	1	8	263	100	0		9
78	10	Re5	D5	327	327	1	8	263	99	96	Ýnc_	9.125
79	8	Sol5	G5	349	349	0	0	0	99	96		9.125
80	9	Fa5#4	F5#4	344	344	1	16	132	95	96		9.1875
81	9	Sol5	G5	349	349	1	16	132	95	96	e	9.25
82	9	Mi5b1	E5b1	335	335	1	8	263	95	96	lek	9.375
83	9	Re5	D5	327	327	1	8	263	95	96	ten 	9.5
84	12	Re5	D5	327	327	1	8	263	95	96	un_	9.625
85	9	Do5	C5	318	318	1	16	132	99	96	e	9.6875
86	11	Si4b1	B4b1	313	313	1	16	132	95	96		9.75
87	9	Si4b1	B4b1	313	313	1	4	526	95	96	ler  	10
88	9	Sol4	G4	296	296	1	8	263	95	96	Ýn	10.125
89	9	Sol4	G4	296	296	1	8	263	95	96	ce	10.25
90	9	La4	A4	305	305	1	8	263	95	96	le	10.375
91	9	Si4b1	B4b1	313	313	1	8	263	95	96	ðin 	10.5
92	9	Do5	C5	318	318	1	16	132	95	96	u	10.5625
93	9	Do5	C5	318	318	1	16	132	99	96	nu	10.625
94	9	Re5	D5	327	327	1	8	263	95	96		10.75
95	9	Re5	D5	327	327	1	8	263	95	96	yum  	10.875
96	9			-1	-1	1	8	263	100	0		11
97	10	Re5	D5	327	327	1	8	263	99	96	Ben 	11.125
98	8	Sol5	G5	349	349	0	0	0	99	96		11.125
99	9	Fa5#4	F5#4	344	344	1	16	132	95	96		11.1875
100	9	Sol5	G5	349	349	1	16	132	95	96	de 	11.25
101	9	Mi5b1	E5b1	335	335	1	8	263	95	96	Al	11.375
102	9	Re5	D5	327	327	1	8	263	95	96	lah 	11.5
103	12	Re5	D5	327	327	1	8	263	95	96	ku	11.625
104	9	Do5	C5	318	318	1	16	132	99	96	lu	11.6875
105	11	Si4b1	B4b1	313	313	1	16	132	95	96		11.75
106	9	Si4b1	B4b1	313	313	1	4	526	95	96	yum  	12
107	52			0	0	1	4	0	114	0		12.25
108	9	Sol4	G4	296	296	1	8	263	95	96	ARANAÐME	12.375
109	9	Sol4	G4	296	296	1	8	263	95	96	.	12.5
110	9	La4	A4	305	305	1	8	263	95	96	.	12.625
111	9	Si4b1	B4b1	313	313	1	8	263	95	96	.	12.75
112	9	Do5	C5	318	318	1	16	132	95	96	.	12.8125
113	9	Do5	C5	318	318	1	16	132	95	96	.	12.875
114	9	Re5	D5	327	327	1	8	263	95	96	.	13
115	9	Re5	D5	327	327	1	8	263	95	96	.	13.125
116	9			-1	-1	1	8	263	100	0	.	13.25
117	10	Re5	D5	327	327	1	8	263	95	96	.	13.375
118	8	Sol5	G5	349	349	0	0	0	95	96	.	13.375
119	9	Fa5#4	F5#4	344	344	1	16	132	95	96	.	13.4375
120	9	Sol5	G5	349	349	1	16	132	95	96	.	13.5
121	9	Mi5b1	E5b1	335	335	1	8	263	95	96	.	13.625
122	9	Re5	D5	327	327	1	8	263	95	96	.	13.75
123	12	Re5	D5	327	327	1	8	263	95	96	.	13.875
124	9	Do5	C5	318	318	1	16	132	95	96	.	13.9375
125	11	Si4b1	B4b1	313	313	1	16	132	95	96	.	14
126	9	Si4b1	B4b1	313	313	1	4	526	95	96	.	14.25
127	9	Sol4	G4	296	296	1	8	263	95	96	.	14.375
128	9	Sol4	G4	296	296	1	8	263	95	96	.	14.5
129	9	La4	A4	305	305	1	8	263	95	96	.	14.625
130	9	Si4b1	B4b1	313	313	1	8	263	95	96	.	14.75
131	9	Do5	C5	318	318	1	16	132	95	96	.	14.8125
132	9	Do5	C5	318	318	1	16	132	95	96	.	14.875
133	9	Re5	D5	327	327	1	8	263	95	96	.	15
134	9	Re5	D5	327	327	1	8	263	95	96	.	15.125
135	9			-1	-1	1	8	263	100	0	.	15.25
136	10	Re5	D5	327	327	1	8	263	95	96	.	15.375
137	8	Sol5	G5	349	349	0	0	0	95	96	.	15.375
138	9	Fa5#4	F5#4	344	344	1	16	132	95	96	.	15.4375
139	9	Sol5	G5	349	349	1	16	132	95	96	.	15.5
140	9	Mi5b1	E5b1	335	335	1	8	263	95	96	.	15.625
141	9	Re5	D5	327	327	1	8	263	95	96	.	15.75
142	12	Re5	D5	327	327	1	8	263	95	96	.	15.875
143	9	Do5	C5	318	318	1	16	132	95	96	.	15.9375
144	11	Si4b1	B4b1	313	313	1	16	132	95	96	.	16
145	9	Si4b1	B4b1	313	313	1	4	526	95	96	.	16.25
146	9			-1	-1	1	4	526	100	0		16.5
147	9	Fa5#4	F5#4	344	344	1	8	263	95	96	Ke	16.625
148	9	Sol5	G5	349	349	1	8	263	95	96	ten 	16.75
149	9	Sol5	G5	349	349	1	8	263	95	96	köy	16.875
150	9	Sol5	G5	349	349	1	8	263	99	96	nek 	17
151	9	Sol5	G5	349	349	1	4	526	99	96		17.25
152	9	Sol5	G5	349	349	1	8	263	99	96		17.375
153	9	Fa5#4	F5#4	344	344	1	8	263	95	96		17.5
154	9	La5	A5	358	358	1	8	263	95	96	fil	17.625
155	9	La5	A5	358	358	1	8	263	95	96	fi	17.75
156	12	Sol5	G5	349	349	1	8	263	99	96	li  	17.875
157	9	Fa5#4	F5#4	344	344	1	16	132	99	96		17.9375
158	9	Sol5	G5	349	349	1	16	132	99	96		18
159	12	Mi5b1	E5b1	335	335	2	16	263	99	96		18.125
160	9	Re5	D5	327	327	1	8	263	95	96		18.25
161	9			-1	-1	1	4	526	100	0		18.5
162	9	La5	A5	358	358	1	8	263	95	96	Ner	18.625
163	9	La5	A5	358	358	1	8	263	95	96	den_	18.75
164	12	Sol5	G5	349	349	1	8	263	99	96	al	18.875
