Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	3	16	441	95	96	ARANAÐME 	0.1875
2	9	Do5	C5	318	318	1	16	147	95	96	.	0.25
3	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	0.375
4	9	La4	A4	305	305	1	8	294	95	96	.	0.5
5	9	Mi5	E5	336	336	3	8	882	95	96	.	0.875
6	9			-1	-1	1	8	294	100	0	.	1
7	9	Mi5	E5	336	336	1	4	588	95	96	.	1.25
8	9	Do5	C5	318	318	1	8	294	95	96	.	1.375
9	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	1.5
10	9	La4	A4	305	305	3	8	882	95	96	.	1.875
11	9			-1	-1	1	8	294	100	0	.	2
12	9	Fa5	F5	340	340	3	16	441	95	96	.	2.1875
13	9	Mi5	E5	336	336	1	16	147	95	96	.	2.25
14	9	Re5	D5	327	327	1	8	294	95	96	.	2.375
15	9	Do5	C5	318	318	1	8	294	95	96	.	2.5
16	9	Sol5	G5	349	349	3	8	882	95	96	.	2.875
17	9			-1	-1	1	8	294	100	0	.	3
18	9	La5	A5	358	358	1	4	588	95	96	.	3.25
19	9	Fa5	F5	340	340	1	8	294	95	96	.	3.375
20	9	Mi5	E5	336	336	1	8	294	95	96	.	3.5
21	9	Re5	D5	327	327	3	8	882	95	96	.	3.875
22	9			-1	-1	1	8	294	100	0	.	4
23	9	Sol5	G5	349	349	1	8	294	95	96	.	4.125
24	9	La5	A5	358	358	1	4	588	95	96	.	4.375
25	9	La5	A5	358	358	1	8	294	95	96	.	4.5
26	9	Si5b5	B5b5	362	362	1	4	588	95	96	.	4.75
27	9	La5	A5	358	358	1	4	588	95	96	.	5
28	9	Mi5	E5	336	336	1	4	588	95	96	.	5.25
29	9	La5	A5	358	358	1	8	294	95	96	.	5.375
30	9	La5	A5	358	358	1	8	294	95	96	.	5.5
31	9	Sol5	G5	349	349	1	8	294	95	96	.	5.625
32	9	Fa5	F5	340	340	1	8	294	95	96	.	5.75
33	9	Mi5	E5	336	336	1	8	294	95	96	.	5.875
34	9	Re5	D5	327	327	1	8	294	95	96	.	6
35	9	La4	A4	305	305	1	8	294	95	96	.	6.125
36	9	Si4b5	B4b5	309	309	1	4	588	95	96	.	6.375
37	9	Do5	C5	318	318	1	8	294	95	96	.	6.5
38	9	Re5	D5	327	327	1	8	294	95	96	.	6.625
39	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	6.75
40	9	La4	A4	305	305	1	4	588	95	96	.	7
41	9	La4	A4	305	305	1	8	294	95	96	.	7.125
42	9	Si4b5	B4b5	309	309	1	4	588	95	96	.	7.375
43	9	Do5	C5	318	318	1	8	294	95	96	.	7.5
44	9	Re5	D5	327	327	1	8	294	95	96	.	7.625
45	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	7.75
46	9	La4	A4	305	305	1	4	588	95	96	.	8
47	52			0	0	1	8	0	127	77		8.125
48	9	Re5	D5	327	327	3	16	441	95	96	ARANAÐME 	8.3125
49	9	Do5	C5	318	318	1	16	147	95	96	.	8.375
50	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	8.5
51	9	La4	A4	305	305	1	8	294	95	96	.	8.625
52	9	Mi5	E5	336	336	3	8	882	95	96	.	9
53	9			-1	-1	1	8	294	100	0	.	9.125
54	9	Mi5	E5	336	336	1	4	588	95	96	.	9.375
55	9	Do5	C5	318	318	1	8	294	95	96	.	9.5
56	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	9.625
57	9	La4	A4	305	305	3	8	882	95	96	.	10
58	9			-1	-1	1	8	294	100	0	.	10.125
59	9	Fa5	F5	340	340	3	16	441	95	96	.	10.3125
60	9	Mi5	E5	336	336	1	16	147	95	96	.	10.375
61	9	Re5	D5	327	327	1	8	294	95	96	.	10.5
62	9	Do5	C5	318	318	1	8	294	95	96	.	10.625
63	9	Sol5	G5	349	349	3	8	882	95	96	.	11
64	9			-1	-1	1	8	294	100	0	.	11.125
65	9	La5	A5	358	358	1	4	588	95	96	.	11.375
66	9	Fa5	F5	340	340	1	8	294	95	96	.	11.5
67	9	Mi5	E5	336	336	1	8	294	95	96	.	11.625
68	9	Re5	D5	327	327	3	8	882	95	96	.	12
69	9			-1	-1	1	8	294	100	0	.	12.125
70	9	Sol5	G5	349	349	1	8	294	95	96	.	12.25
71	9	La5	A5	358	358	1	4	588	95	96	.	12.5
72	9	La5	A5	358	358	1	8	294	95	96	.	12.625
73	9	Si5b5	B5b5	362	362	1	4	588	95	96	.	12.875
74	9	La5	A5	358	358	1	4	588	95	96	.	13.125
75	9	Mi5	E5	336	336	1	4	588	95	96	.	13.375
76	9	La5	A5	358	358	1	8	294	95	96	.	13.5
